Website,IP Address,CDN Server
google.com,142.250.66.206,syd09s23-in-f14.1e100.net
amazonaws.com,207.171.166.22,166-22.amazon.com
facebook.com,157.240.8.35,edge-star-mini-shv-01-syd2.facebook.com
apple.com,17.253.144.10,icloud.com
youtube.com,172.217.167.78,syd15s06-in-f14.1e100.net
googleapis.com,142.250.76.100,syd09s24-in-f4.1e100.net
instagram.com,157.240.8.174,instagram-p42-shv-01-syd2.fbcdn.net
gstatic.com,142.250.71.67,syd15s17-in-f3.1e100.net
live.com,204.79.197.212,a-0010.a-msedge.net
googletagmanager.com,142.250.204.8,syd09s25-in-f8.1e100.net
googlevideo.com,142.250.71.68,syd15s17-in-f4.1e100.net
amazon.com,205.251.242.103,s3-console-us-standard.console.aws.amazon.com
fbcdn.net,157.240.8.35,edge-star-mini-shv-01-syd2.facebook.com
doubleclick.net,142.250.67.14,syd15s16-in-f14.1e100.net
googleusercontent.com,142.250.71.65,syd15s17-in-f1.1e100.net
wikipedia.org,103.102.166.224,text-lb.eqsin.wikimedia.org
googlesyndication.com,142.250.204.4,syd09s25-in-f4.1e100.net
icloud.com,17.253.144.10,vipd-healthcheck.a01.3banana.com
youtu.be,142.250.66.238,syd15s15-in-f14.1e100.net
github.com,Error,Error
netflix.com,44.240.158.19,ec2-44-240-158-19.us-west-2.compute.amazonaws.com
domaincontrol.com,127.0.0.1,localhost
whatsapp.net,157.240.8.53,whatsapp-cdn-shv-01-syd2.fbcdn.net
yahoo.com,98.137.11.163,media-router-fp74.prod.media.vip.gq1.yahoo.com
appsflyersdk.com,108.158.20.81,server-108-158-20-81.syd62.r.cloudfront.net
adobe.com,23.55.38.249,a23-55-38-249.deploy.static.akamaitechnologies.com
goo.gl,142.251.221.78,syd09s31-in-f14.1e100.net
spotify.com,35.186.224.24,24.224.186.35.bc.googleusercontent.com
tiktokv.com,23.48.247.240,a23-48-247-240.deploy.static.akamaitechnologies.com
whatsapp.com,157.240.8.53,whatsapp-cdn-shv-01-syd2.fbcdn.net
google-analytics.com,142.250.66.228,syd15s15-in-f4.1e100.net
yandex.net,213.180.204.242,any.yandex.ru
nic.ru,31.177.80.4,www.nic.ru
gandi.net,217.70.185.65,v5.gandi.net
ntp.org,204.93.207.22,slb0.chi1.ntfo.org
tiktok.com,108.158.20.54,server-108-158-20-54.syd62.r.cloudfront.net
blogspot.com,172.217.167.105,syd09s17-in-f9.1e100.net
mozilla.org,35.190.14.201,201.14.190.35.bc.googleusercontent.com
unity3d.com,23.40.161.9,a23-40-161-9.deploy.static.akamaitechnologies.com
googleadservices.com,172.217.167.66,syd15s06-in-f2.1e100.net
lencr.org,54.66.176.79,ec2-54-66-176-79.ap-southeast-2.compute.amazonaws.com
googledomains.com,216.239.32.29,any-in-201d.1e100.net
intuit.com,104.74.35.154,a104-74-35-154.deploy.static.akamaitechnologies.com
